冠,,11
mini 电王,,45
花梦,,60
kiva la,,60
铠武 夏蜜柑,,60
昭和亚马逊,,62
原生体亚马逊,,62
量产mach,,62
旧2号,,65
新2号,,65
抚子,,66
旧1号,,70
樱岛1号,,70
新1号,,70
骑士人,,70
天空骑士,,70
强化天空骑士,,70
the first2号,,71
the next2号,,71
x,,72
the first1号,,74
the next1号,,74
3号,,74
月神王牌,,75
赤 蓝 黄 绿 桃 骑士,,75
v3,,78
the nextv3,,78
stronger,,78
stronger充电升级,,78
zx,,78
super1,,80
电王 月台,,80
疾风王牌,,80
炽热金属,,80
月神扳机,,80
accelbooster,,80
mage,,80
aqua,,80
獠牙王牌,,82
疾风王牌极限,,82
acceltrial,,82
ooo bikaso,,82
zo,,83
decade,,83
decade 激情态,,83
Neo decade,,83
j,,84
疾风疾风,,85
王牌王牌,,85
王牌,,85
疾风,,85
ooo legend tatoba,,85
wiseman,,85
ooo tatoba,,86
ooo mukachiri,,86
shinobi,,86.2
black,,87
电王 圣剑,,87
rey,,87
decade 电王,,87
ooo tajadol,,87
ooo tamashiy,,87
ooo super tatoba,,87
black rx,,88
rx机械骑士,,88
ooo shauta,,88
diend,,88
Amazon素体,,88.1
poppy,,88.5
zeronos牵牛星,,89
zeronos零,,89
ooo latorartar,,89
ooo saramiuo,,89
poseidon,,89
shin,,90
空我 初生,,90
空我 青龙,,90
龙骑 空白,,90
龙骑 ,,90
龙牙,,90
zect蚁兵,,90
电王 圣翼,,90
kiva加鲁鲁,,90
decade 龙骑,,90
月神金属,,90
ooo burakawani,,90
ooo 修卡,,90
wizard火焰,,90
wizard大地,,90
wizard飓风,,90
wizard水,,90
瞬平版wizard,,90
sorcerer,,90
忍漫,,90.5
faiz,,91
faiz加速,,91
faiz blaster ,,91
drake 骑士,,91
sasword 骑士,,91
decade faiz,,91
疾风扳机,,91
dark ghost 拿破仑,,91
Amazon alfa,,91.4
amazon alfa第二季,,91.4
智能机狼,,91.6
amazon sigma,,91.9
空我 升华青龙,,92
海鳐,,92
渊骑,,92
thebee 骑士,,92
new电王 强袭,,92
kiva巴夏,,92
eternal,,92
eternal红色火焰,,92
birth,,92
birth prototype,,92
zio ,,92
镜世界zio,,92
geiz,,92
amazon omega,,92.7
利刃,,93
alternative zero,,93
踢蝗,,93
拳蝗,,93
电王 圣斧,,93
accel,,93
ooo gatakiriba,,93
meteor,,93
meteor storm,,93
marika蜜桃能量,,93
羚皇,,94
faiz爆裂,,94
电王 liner,,94
beast,,94
dark necrom,,94
蔷薇直升机,,94.2
woz,,94.2
亚极陀 大地,,95
亚极陀 风暴,,95
亚极陀 火焰,,95
亚极陀 三合一,,95
亚极陀 燃烧,,95
亚极陀 闪耀,,95
龙骑生存,,95
夜骑,,95
生存龙牙,,95
妖翠,,95
kaixa,,95
larc,,95
kabuto 骑士,,95
dark kabuto骑士,,95
nega电王,,95
decade kabuto,,95
decade 亚极陀,,95
炽热扳机,,95
ooo putotyra,,95
fourze基础,,95
wizard火龙,,95
wizard风龙,,95
wizard水龙,,95
wizard地龙,,95
dark necrom b 比利,,95.5
dark ghost一休,,95.5
海贼列车,,95.8
delta,,96
ketaros,,96
龙玄 黄泉,,96
龙玄 w,,96
ghost 俺魂,,96
dark ghost,,96
exaid ghost lv2,,96
ride player,,96.1
zio2,,96.4
specter,,96.5
章鱼电灯,,96.5
woz shinobi,,96.5
mach,,96.6
王蛇生存,,97
大牙,,97
gatack 骑士,,97
gatack 超越,,97
eternal蓝色火焰,,97
fourze电力,,97
ghost罗宾,,97
darknecrom y 信长,,97
zero specter,,97
exaid lv2,,97
genm lv2,,97
genm lv0,,97
build exaid,,97
ghost比利,,97.5
specter图坦卡蒙,,97.5
darkghost 毕达哥拉斯,,97.5
空我 全能,,98
空我 天马,,98
王蛇,,98
alternative,,98
天帝,,98
电王 圣枪,,98
G电王,,98
kiva,,98
kiva arrow,,98
decade kiva,,98
炽热王牌,,98
accel机车,,98
fourze宇宙,,98
rebirth,,98
ghost 武藏,,98
specter毕达哥拉斯,,98
lazer lv0,,98
ginga,,98.2
nico,,98.4
ghost贝多芬,,98.5
necrom specter,,98.5
snipe lv2,,98.5
woz quiz,,98.6
mach chaser,,98.7
exaid lvxx,,98.8
decade 空我,,99
fourze火焰,,99
beast hyper,,99
zero drive,,99
necrom,,99
兔坦,,99
风魔,,99.2
specter信长,,99.5
brave lv2,,99.5
amazon neo,,99.7
amazon new Omega,,99.7
空我升华天马,,99.9
quiz,,99.9
gills,,100
exceedgills,,100
铠,,100
奥丁,,100
glaive,,100
hercus,,100
kiva魔皇,,100
kiva飞翔,,100
疾风金属,,100
ooo shigazeshi,,100
fourze流星,,100
铠武 草莓,,100
龙玄 奇异果,,100
ghost爱迪生,,100
specter爱迪生,,100.5
necrom格林,,100.5
老虎ufo,,100.5
地帝,,101
blade,,101
blade blade,,101
decade blade,,101
drive superdead heat,,101
exaid vrx,,101
危险兔坦,,101
危险飞鹰加特林,,101
危险海贼列车,,101
危险锁龙,,101
危险智能机狼,,101
cronus,,101.1
强鬼,,101.2
